"","adsh","cik","name","sic","countryba","stprba","cityba","zipba","bas1","bas2","baph","countryma","stprma","cityma","zipma","mas1","mas2","countryinc","stprinc","ein","former","changed","afs","wksi","fye","form","period","fy","fp","filed","accepted","prevrpt","detail","instance","nciks","aciks","Quarter_Year"
"65","0001359841-19-000040",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2019-03-31,2019,"Q1",2019-05-02,2019-05-02 17:07:00,0,1,"hbi-20190330.xml",1,"","Q1_2019"
"66","0001140361-19-008361",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2019-03-31,2019,"Q2",2019-05-03,2019-05-03 12:49:00,0,1,"jout-20190329.xml",1,"","Q1_2019"
"67","0001564590-19-018382",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2019-03-31,2019,"Q1",2019-05-10,2019-05-10 12:33:00,0,1,"skx-20190331.xml",1,"","Q1_2019"
"68","0001616318-19-000032",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","801-447-3000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",1,331,"10-K",2019-03-31,2018,"FY",2019-05-23,2019-05-23 17:11:00,0,1,"vsto-20190331.xml",1,"","Q1_2019"
"69","0001690511-19-000011",1690511,"CANADA GOOSE HOLDINGS INC.",2300,"CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","416-780-9850","CA","ON","TORONTO","M6E 4Y2","250 BOWIE AVENUE","","CA","BC",0,"CANADA GOOSE HOLDINGS, INC.",20161118,"1-LAF",1,331,"20-F",2019-03-31,2018,"FY",2019-05-29,2019-05-29 07:46:00,0,1,"goos-20190331.xml",1,"","Q1_2019"
"70","0001564590-19-022862",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-K",2019-04-30,2019,"FY",2019-06-19,2019-06-19 16:17:00,0,1,"aobc-20190430.xml",1,"","Q2_2019"
"71","0000320187-19-000051",320187,"NIKE INC",3021,"US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","5036713173","US","OR","BEAVERTON","97005-6453","ONE BOWERMAN DR","","US","OR",930584541,"",NA,"1-LAF",1,531,"10-K",2019-05-31,2019,"FY",2019-07-23,2019-07-23 16:14:00,0,1,"nke-20190531.xml",1,"","Q2_2019"
"72","0001050797-19-000034",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2019-06-30,2019,"Q2",2019-08-01,2019-08-01 14:42:00,0,1,"colm-20190630x10q_htm.xml",1,"","Q2_2019"
"73","0001140361-19-014098",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2019-06-30,2019,"Q3",2019-08-02,2019-08-02 13:41:00,0,1,"jout-20190628.xml",1,"","Q2_2019"
"74","0001359841-19-000071",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2019-06-30,2019,"Q2",2019-08-02,2019-08-02 09:15:00,0,1,"hbi-20190629x10q_htm.xml",1,"","Q2_2019"
"75","0001564590-19-029953",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2019-06-30,2019,"Q2",2019-08-07,2019-08-07 15:14:00,0,1,"skx-10q_20190630_htm.xml",1,"","Q2_2019"
"76","0001616318-19-000056",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","801-447-3000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2019-07-31,NA,"",2019-08-08,2019-08-08 06:59:00,0,0,"vsto-06302019x8xk_htm.xml",1,"","Q3_2019"
"77","0001616318-19-000067",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","801-447-3000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"10-Q",2019-06-30,2020,"Q1",2019-08-08,2019-08-08 16:11:00,0,1,"vsto-0630201910q_htm.xml",1,"","Q2_2019"
"78","0001616318-19-000076",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","801-447-3000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2019-07-31,NA,"",2019-08-09,2019-08-09 16:48:00,0,0,"a2019annualmeetingform_htm.xml",1,"","Q3_2019"
"79","0001616318-19-000079",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","801-447-3000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2019-07-31,NA,"",2019-08-12,2019-08-12 16:49:00,0,0,"chaplin8k_htm.xml",1,"","Q3_2019"
"80","0001564590-19-033589",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2019-07-31,2020,"Q1",2019-08-29,2019-08-29 16:17:00,0,1,"aobc-10q_20190731_htm.xml",1,"","Q3_2019"
"81","0001616318-19-000086",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2019-08-31,NA,"",2019-09-10,2019-09-10 06:12:00,0,0,"sep2019investorday_htm.xml",1,"","Q3_2019"
"82","0001193125-19-257335",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2019-09-30,NA,"",2019-09-27,2019-09-27 16:06:00,0,0,"d773103d8k_htm.xml",1,"","Q3_2019"
"83","0001564590-19-037389",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2019-10-31,NA,"",2019-10-22,2019-10-22 16:09:00,0,0,"skx-8k_20191022_htm.xml",1,"","Q4_2019"
"84","0001050797-19-000037",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2019-10-31,NA,"",2019-10-30,2019-10-30 16:07:00,0,0,"a8-kq319earningsreleas_htm.xml",1,"","Q4_2019"
"85","0001193125-19-279576",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2019-10-31,NA,"",2019-10-31,2019-10-31 07:04:00,0,0,"d783579d8k_htm.xml",1,"","Q4_2019"
"86","0001359841-19-000088",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"10-Q",2019-09-30,2019,"Q3",2019-10-31,2019-10-31 16:12:00,0,1,"hbi-20190928x10q_htm.xml",1,"","Q3_2019"
"87","0001050797-19-000039",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2019-10-31,NA,"",2019-11-04,2019-11-04 07:24:00,0,0,"form8-kitem80190120191_htm.xml",1,"","Q4_2019"
"88","0001050797-19-000041",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2019-10-31,NA,"",2019-11-04,2019-11-04 17:04:00,0,0,"form8-kitem70190120191_htm.xml",1,"","Q4_2019"
"89","0001050797-19-000044",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"10-Q",2019-09-30,2019,"Q3",2019-11-07,2019-11-07 16:08:00,0,1,"colm-20190930x10q_htm.xml",1,"","Q3_2019"
"90","0001616318-19-000094",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2019-10-31,NA,"",2019-11-07,2019-11-07 07:03:00,0,0,"vsto-09292019x8xk_htm.xml",1,"","Q4_2019"
"91","0001616318-19-000100",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"10-Q",2019-09-30,2020,"Q2",2019-11-07,2019-11-07 17:12:00,0,1,"vsto-0929201910q_htm.xml",1,"","Q3_2019"
"92","0001564590-19-042183",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"10-Q",2019-09-30,2019,"Q3",2019-11-08,2019-11-08 15:02:00,0,1,"skx-10q_20190930_htm.xml",1,"","Q3_2019"
"93","0001616318-19-000102",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2019-10-31,NA,"",2019-11-08,2019-11-08 16:36:00,0,0,"a2019novemberofficerap_htm.xml",1,"","Q4_2019"
"94","0001193125-19-291031",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2019-10-31,NA,"",2019-11-13,2019-11-13 16:21:00,0,0,"d801271d8k_htm.xml",1,"","Q4_2019"
"95","0001193125-19-291772",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2019-10-31,NA,"",2019-11-14,2019-11-14 09:01:00,0,0,"d824623d8k_htm.xml",1,"","Q4_2019"
"96","0001193125-19-299973",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2019-11-30,NA,"",2019-11-25,2019-11-25 16:54:00,0,0,"d837623d8k_htm.xml",1,"","Q4_2019"
"97","0001193125-19-301161",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2019-11-30,NA,"",2019-11-26,2019-11-26 16:04:00,0,0,"d838214d8k_htm.xml",1,"","Q4_2019"
"98","0001564590-19-044549",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2019-11-30,NA,"",2019-11-26,2019-11-26 16:16:00,0,0,"skx-8k_20191121_htm.xml",1,"","Q4_2019"
"99","0001193125-19-307288",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2019-11-30,NA,"",2019-12-05,2019-12-05 16:06:00,0,0,"d844205d8k_htm.xml",1,"","Q4_2019"
"100","0001564590-19-045371",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2019-10-31,2020,"Q2",2019-12-05,2019-12-05 16:17:00,0,1,"aobc-10q_20191031_htm.xml",1,"","Q4_2019"
"101","0001140361-19-022062",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-K",2019-09-30,2019,"FY",2019-12-06,2019-12-06 15:36:00,0,1,"jout-20190927.xml",1,"","Q3_2019"
"102","0001050797-19-000046",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2019-11-30,NA,"",2019-12-10,2019-12-10 08:16:00,0,0,"colm8kitem50220191209_htm.xml",1,"","Q4_2019"
"103","0001193125-20-004678",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2019-12-31,NA,"",2020-01-09,2020-01-09 16:03:00,0,0,"d840234d8k_htm.xml",1,"","Q4_2019"
"104","0001193125-20-006788",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2019-12-31,NA,"",2020-01-14,2020-01-14 08:33:00,0,0,"d864130d8k_htm.xml",1,"","Q4_2019"
"105","0001193125-20-008419",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2019-12-31,NA,"",2020-01-16,2020-01-16 06:25:00,0,0,"d866586d8k_htm.xml",1,"","Q4_2019"
"106","0001050797-20-000002",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-01-31,NA,"",2020-01-23,2020-01-23 16:06:00,0,0,"colm8kitem50220200116_htm.xml",1,"","Q1_2020"
"107","0001193125-20-019586",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-01-31,NA,"",2020-01-30,2020-01-30 16:01:00,0,0,"d878134d8k_htm.xml",1,"","Q1_2020"
"108","0001140361-20-001962",788329,"JOHNSON OUTDOORS INC",3949,"US","WI","RACINE","53403-1015","555 MAIN STREET","","2626316600","US","WI","RACINE","53403-1015","555 MAIN STREET","STE 023","US","WI",391536083,"JOHNSON WORLDWIDE ASSOCIATES INC",19920703,"2-ACC",0,930,"10-Q",2019-12-31,2020,"Q1",2020-01-31,2020-01-31 15:16:00,0,1,"jout-20191227.xml",1,"","Q4_2019"
"109","0001050797-20-000005",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-01-31,NA,"",2020-02-06,2020-02-06 16:06:00,0,0,"colm-20200206_htm.xml",1,"","Q1_2020"
"110","0001564590-20-003687",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2020-01-31,NA,"",2020-02-06,2020-02-06 16:11:00,0,0,"skx-8k_20200206_htm.xml",1,"","Q1_2020"
"111","0001616318-20-000013",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"8-K",2020-01-31,NA,"",2020-02-06,2020-02-06 07:06:00,0,0,"vsto-12292019x8xk_htm.xml",1,"","Q1_2020"
"112","0001616318-20-000015",1616318,"VISTA OUTDOOR INC.",3480,"US","MN","ANOKA","55303","1 VISTA WAY","","763-433-1000","US","MN","ANOKA","55303","1 VISTA WAY","","US","DE",471016855,"",NA,"1-LAF",0,331,"10-Q",2019-12-31,2020,"Q3",2020-02-06,2020-02-06 16:32:00,0,1,"vsto-1229201910q_htm.xml",1,"","Q4_2019"
"113","0001359841-20-000024",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-01-31,NA,"",2020-02-07,2020-02-07 06:05:00,0,0,"hbi-20191228x8k_htm.xml",1,"","Q1_2020"
"114","0001359841-20-000027",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",1,1231,"10-K",2019-12-31,2019,"FY",2020-02-11,2020-02-10 20:05:00,0,1,"hbi-20191228x10k_htm.xml",1,"","Q4_2019"
"115","0001050797-20-000012",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",1,1231,"10-K",2019-12-31,2019,"FY",2020-02-27,2020-02-27 16:09:00,0,1,"colm-20191231_htm.xml",1,"","Q4_2019"
"116","0001050797-20-000013",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-02-29,NA,"",2020-02-27,2020-02-27 16:13:00,0,0,"colm-20200227_htm.xml",1,"","Q1_2020"
"117","0001193125-20-056239",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2020-02-29,NA,"",2020-02-28,2020-02-28 16:10:00,0,0,"d872074d8k_htm.xml",1,"","Q1_2020"
"118","0001564590-20-007744",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",1,1231,"10-K",2019-12-31,2019,"FY",2020-02-28,2020-02-28 14:32:00,0,1,"skx-10k_20191231_htm.xml",1,"","Q4_2019"
"119","0001193125-20-063095",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2020-02-29,NA,"",2020-03-05,2020-03-05 16:16:00,0,0,"d850288d8k_htm.xml",1,"","Q1_2020"
"120","0001564590-20-008970",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"10-Q",2020-01-31,2020,"Q3",2020-03-05,2020-03-05 16:17:00,0,1,"aobc-10q_20200131_htm.xml",1,"","Q1_2020"
"121","0001193125-20-067685",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2020-02-29,NA,"",2020-03-10,2020-03-10 06:15:00,0,0,"d882623d8k_htm.xml",1,"","Q1_2020"
"122","0001193125-20-069692",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-02-29,NA,"",2020-03-11,2020-03-11 08:11:00,0,0,"d882769d8k_htm.xml",1,"","Q1_2020"
"123","0001050797-20-000016",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-02-29,NA,"",2020-03-16,2020-03-16 07:36:00,0,0,"colm-20200315_htm.xml",1,"","Q1_2020"
"124","0001193125-20-076775",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2020-03-31,NA,"",2020-03-18,2020-03-18 10:20:00,0,0,"d901499d8k_htm.xml",1,"","Q1_2020"
"125","0001564590-20-012504",1065837,"SKECHERS USA INC",3140,"US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","3103183100","US","CA","MANHATTAN BEACH","90266","228 MANHATTAN BEACH BLVD","","US","DE",954376145,"",NA,"1-LAF",0,1231,"8-K",2020-03-31,NA,"",2020-03-24,2020-03-24 16:06:00,0,0,"skx-8k_20200318_htm.xml",1,"","Q1_2020"
"126","0001193125-20-085081",1359841,"HANESBRANDS INC.",5600,"US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","(336) 519-4400","US","NC","WINSTON-SALEM","27105","1000 EAST HANES MILL ROAD","","US","MD",203552316,"",NA,"1-LAF",0,1231,"8-K",2020-03-31,NA,"",2020-03-25,2020-03-25 16:16:00,0,0,"d865482d8k_htm.xml",1,"","Q1_2020"
"127","0001193125-20-085907",1092796,"AMERICAN OUTDOOR BRANDS CORP",3480,"US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","844-363-5386","US","MA","SPRINGFIELD","01104","2100 ROOSEVELT AVENUE","","US","NV",870543688,"AMERICAN OUTDOOR BRANDS CORPORATON",20170103,"1-LAF",0,430,"8-K",2020-03-31,NA,"",2020-03-26,2020-03-26 06:10:00,0,0,"d902909d8k_htm.xml",1,"","Q1_2020"
"128","0001050797-20-000018",1050797,"COLUMBIA SPORTSWEAR CO",2300,"US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","503 985 4000","US","OR","PORTLAND","97229","14375 NW SCIENCE PARK DRIVE","","US","OR",930498284,"",NA,"1-LAF",0,1231,"8-K",2020-03-31,NA,"",2020-04-01,2020-04-01 17:02:00,0,0,"colm-20200327_htm.xml",1,"","Q1_2020"
